order_date,total_sales
2018-08-07,49809.1
2018-08-08,41781.534999999996
2018-08-09,36915.46
2018-08-10,33196.979999999996
2018-08-11,24814.204999999998
2018-08-12,27647.199999999997
2018-08-13,36570.229999999996
2018-08-14,40144.17
2018-08-15,37775.674999999996
2018-08-16,34986.37
2018-08-17,29902.42
2018-08-18,24218.76
2018-08-19,23495.475
2018-08-20,31982.42
2018-08-21,27595.309999999998
2018-08-22,21459.825
2018-08-23,16202.664999999999
2018-08-24,10759.375
2018-08-25,7982.339999999999
2018-08-26,8209.675
2018-08-27,5702.61
2018-08-28,3680.545
2018-08-29,1736.25
